name,latitude,longitude,type
1 BEACH RD,1.303671351,103.8644787,HDB Property
1 BEDOK STH AVE 1,1.320852087,103.9337211,HDB Property
1 CANTONMENT RD,1.275498954,103.8413985,HDB Property
1 CHAI CHEE RD,1.327968792,103.922716,HDB Property
1 CHANGI VILLAGE RD,1.388546562,103.9878045,HDB Property
1 DELTA AVE,1.292075251,103.8285841,HDB Property
1 DOVER RD,1.302529947,103.7832717,HDB Property
1 EUNOS CRES,1.320657645,103.9024634,HDB Property
1 EVERTON PK,1.275498954,103.8413985,HDB Property
1 GEYLANG SERAI,1.316678856,103.8981027,HDB Property
1 GHIM MOH RD,1.312879757,103.786855,HDB Property
1 HAIG RD,1.311290912,103.8977034,HDB Property
1 HOLLAND CL,1.309219378,103.7967324,HDB Property
1 HOUGANG AVE 3,1.364130973,103.8930013,HDB Property
1 JLN BT MERAH,1.28645354,103.8082424,HDB Property
1 JLN KUKOH,1.288231015,103.8399342,HDB Property
1 JOO CHIAT RD,1.315876534,103.8983781,HDB Property
1 KG KAYU RD,1.303557697,103.8837964,HDB Property
1 LOR 7 TOA PAYOH,1.339430335,103.8534428,HDB Property
1 LOR LEW LIAN,1.350867126,103.8753439,HDB Property
1 MARINE TER,1.304829022,103.918615,HDB Property
1 MARSILING DR,1.440671099,103.7757399,HDB Property
1 MAUDE RD,1.307582302,103.8589674,HDB Property
1 PINE CL,1.307870562,103.8831922,HDB Property
1 PUNGGOL DR,1.408298925,103.9051042,HDB Property
1 QUEEN'S RD,1.317266295,103.8067829,HDB Property
1 ST. GEORGE'S RD,1.323402637,103.8616308,HDB Property
1 TAMPINES WALK,1.352180469,103.940598,HDB Property
1 TECK WHYE AVE,1.382538829,103.7517109,HDB Property
1 TELOK BLANGAH CRES,1.279456601,103.8178976,HDB Property
1 TG PAGAR PLAZA,1.276238081,103.8430057,HDB Property
1 THOMSON RD,1.330510312,103.8375437,HDB Property
1 TOH YI DR,1.339581559,103.7745863,HDB Property
1 UPP ALJUNIED LANE,1.334292424,103.8787462,HDB Property
1 WOODLANDS IND PK E3,1.454813455,103.8000692,HDB Property
1A CANTONMENT RD,1.27784271,103.8409659,HDB Property
1A EUNOS CRES,1.321290305,103.9027278,HDB Property
1A EVERTON PK,1.277190575,103.8402577,HDB Property
1A TELOK PAKU RD,1.387966586,103.9882989,HDB Property
1A TELOK BLANGAH CRES,1.279606818,103.8177905,HDB Property
