blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,Address,latitude,longitude
1,BEACH RD,16,1970,Y,Y,N,N,N,N,KWN,142,0,1,138,1,2,0,0,0,0,0,0,0,1 BEACH RD,1.303671351,103.8644787
1,BEDOK STH AVE 1,14,1975,Y,N,N,Y,N,N,BD,206,0,0,204,0,2,0,0,0,0,0,0,0,1 BEDOK STH AVE 1,1.320852087,103.9337211
1,CANTONMENT RD,2,2010,N,Y,N,N,N,N,CT,0,0,0,0,0,0,0,0,0,0,0,0,0,1 CANTONMENT RD,1.275498954,103.8413985
1,CHAI CHEE RD,15,1982,Y,N,N,N,N,N,BD,102,0,0,0,10,92,0,0,0,0,0,0,0,1 CHAI CHEE RD,1.327968792,103.922716
1,CHANGI VILLAGE RD,4,1975,Y,Y,N,N,N,N,PRC,55,0,0,54,0,1,0,0,0,0,0,0,0,1 CHANGI VILLAGE RD,1.388546562,103.9878045
1,DELTA AVE,25,1982,Y,N,N,N,N,N,BM,96,0,0,0,0,96,0,0,0,0,0,0,0,1 DELTA AVE,1.292075251,103.8285841
1,DOVER RD,12,1975,Y,N,N,Y,N,N,QT,125,0,0,118,0,7,0,0,0,0,0,0,0,1 DOVER RD,1.302529947,103.7832717
1,EUNOS CRES,14,1977,Y,N,N,Y,N,N,GL,247,0,0,0,0,0,0,0,0,0,247,0,0,1 EUNOS CRES,1.320657645,103.9024634
1,EVERTON PK,12,1980,Y,Y,N,N,N,N,BM,95,0,0,62,0,33,0,0,0,0,0,0,0,1 EVERTON PK,1.275498954,103.8413985
1,GEYLANG SERAI,2,2009,N,Y,N,N,N,N,GL,0,0,0,0,0,0,0,0,0,0,0,0,0,1 GEYLANG SERAI,1.316678856,103.8981027
1,GHIM MOH RD,15,1975,Y,N,N,Y,N,N,QT,220,0,0,216,0,4,0,0,0,0,0,0,0,1 GHIM MOH RD,1.312879757,103.786855
1,HAIG RD,15,1976,Y,N,N,Y,N,N,GL,219,0,0,213,0,5,0,0,0,0,0,1,0,1 HAIG RD,1.311290912,103.8977034
1,HOLLAND CL,13,1973,Y,N,N,Y,N,N,QT,319,0,0,0,0,0,0,0,0,319,0,0,0,1 HOLLAND CL,1.309219378,103.7967324
1,HOUGANG AVE 3,14,1974,Y,N,N,Y,N,N,HG,204,0,0,200,0,4,0,0,0,0,0,0,0,1 HOUGANG AVE 3,1.364130973,103.8930013
1,JLN BT MERAH,14,1974,Y,Y,N,N,N,N,BM,244,0,0,243,0,0,0,0,0,0,0,1,0,1 JLN BT MERAH,1.28645354,103.8082424
1,JLN KUKOH,17,1969,Y,N,Y,Y,N,N,CT,84,0,0,0,0,0,0,0,0,0,56,14,14,1 JLN KUKOH,1.288231015,103.8399342
1,JOO CHIAT RD,5,1984,N,Y,N,N,N,N,GL,0,0,0,0,0,0,0,0,0,0,0,0,0,1 JOO CHIAT RD,1.315876534,103.8983781
1,KG KAYU RD,10,1963,Y,N,N,N,N,N,KWN,107,0,0,106,1,0,0,0,0,0,0,0,0,1 KG KAYU RD,1.303557697,103.8837964
1,LOR 7 TOA PAYOH,11,1968,Y,N,N,N,N,N,TP,196,0,0,194,0,2,0,0,0,0,0,0,0,1 LOR 7 TOA PAYOH,1.339430335,103.8534428
1,LOR LEW LIAN,14,1977,Y,N,N,Y,N,N,SGN,179,0,0,174,0,3,0,0,0,0,0,2,0,1 LOR LEW LIAN,1.350867126,103.8753439
1,MARINE TER,25,1974,Y,Y,N,N,N,N,MP,96,0,0,0,0,96,0,0,0,0,0,0,0,1 MARINE TER,1.304829022,103.918615
1,MARSILING DR,11,1973,Y,N,N,Y,N,N,WL,159,0,0,158,0,1,0,0,0,0,0,0,0,1 MARSILING DR,1.440671099,103.7757399
1,MAUDE RD,14,1970,Y,Y,N,Y,N,N,KWN,176,0,0,0,0,0,0,0,0,0,176,0,0,1 MAUDE RD,1.307582302,103.8589674
1,PINE CL,19,1998,Y,N,N,N,N,N,GL,156,0,0,0,100,56,0,0,0,0,0,0,0,1 PINE CL,1.307870562,103.8831922
1,PUNGGOL DR,6,2022,N,N,N,Y,N,N,PG,0,0,0,0,0,0,0,0,0,0,0,0,0,1 PUNGGOL DR,1.408298925,103.9051042
1,QUEEN'S RD,23,1974,Y,N,N,N,N,N,BT,88,0,0,0,0,88,0,0,0,0,0,0,0,1 QUEEN'S RD,1.317266295,103.8067829
1,ST. GEORGE'S RD,12,1975,Y,N,N,Y,N,N,KWN,154,0,0,0,154,0,0,0,0,0,0,0,0,1 ST. GEORGE'S RD,1.323402637,103.8616308
1,TAMPINES WALK,7,2016,N,N,N,Y,N,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0,1 TAMPINES WALK,1.352180469,103.940598
1,TECK WHYE AVE,13,1983,Y,N,N,N,N,N,CCK,118,0,0,68,48,0,2,0,0,0,0,0,0,1 TECK WHYE AVE,1.382538829,103.7517109
1,TELOK BLANGAH CRES,16,1973,Y,Y,N,N,N,N,BM,148,0,0,146,0,2,0,0,0,0,0,0,0,1 TELOK BLANGAH CRES,1.279456601,103.8178976
1,TG PAGAR PLAZA,24,1976,Y,Y,N,Y,N,N,CT,163,0,0,158,0,5,0,0,0,0,0,0,0,1 TG PAGAR PLAZA,1.276238081,103.8430057
1,THOMSON RD,4,1977,Y,Y,N,N,N,N,KWN,8,0,0,0,0,0,0,0,0,0,0,8,0,1 THOMSON RD,1.330510312,103.8375437
1,TOH YI DR,13,1987,Y,N,N,Y,N,N,BT,132,0,0,0,72,60,0,0,0,0,0,0,0,1 TOH YI DR,1.339581559,103.7745863
1,UPP ALJUNIED LANE,1,2003,N,Y,Y,N,N,N,TP,0,0,0,0,0,0,0,0,0,0,0,0,0,1 UPP ALJUNIED LANE,1.334292424,103.8787462
1,WOODLANDS IND PK E3,2,1994,N,N,N,Y,N,N,WL,0,0,0,0,0,0,0,0,0,0,0,0,0,1 WOODLANDS IND PK E3,1.454813455,103.8000692
1A,CANTONMENT RD,50,2009,Y,N,N,Y,N,N,CT,264,0,0,0,176,88,0,0,0,0,0,0,0,1A CANTONMENT RD,1.27784271,103.8409659
